time,memory,cpu,download (bytes),upload (bytes),app,media,user,download,upload,download (unit),upload (unit),client
15/02/2023 14:20:14,30740,0.01,152.5,467.5,siruntu,webcam,server,1.22,3.74,k,k,presenter
15/02/2023 14:21:00,35030,1.68,21672.5,22355,siruntu,webcam,server,173.38,178.84,k,k,viewer 1
15/02/2023 14:22:00,36260,2.59,55373.75,62401.25,siruntu,webcam,server,442.99,499.21,k,k,viewer 2
15/02/2023 14:23:00,39680,3.04,45398.75,176250,siruntu,webcam,server,363.19,1410,k,k,viewer 3
15/02/2023 14:25:00,41910,3.49,26542.5,66231.25,siruntu,webcam,server,212.34,529.85,k,k,viewer 4
15/02/2023 14:26:00,44260,3.85,20488.75,72395,siruntu,webcam,server,163.91,579.16,k,k,viewer 5
15/02/2023 14:27:00,47520,4.01,31392.5,207500,siruntu,webcam,server,251.14,1660,k,k,viewer 6
15/02/2023 14:28:00,51430,5.54,39830,227500,siruntu,webcam,server,318.64,1820,k,k,viewer 7
15/02/2023 14:29:00,54120,5.4,25641.25,150000,siruntu,webcam,server,205.13,1200,k,k,viewer 8
15/02/2023 14:31:00,59930,7.27,23790,150000,siruntu,webcam,server,190.32,1200,k,k,viewer 9
15/02/2023 14:32:00,60410,6.67,25782.5,188750,siruntu,webcam,server,206.26,1510,k,k,viewer 10
15/02/2023 14:33:00,63020,8.56,26881.25,216250,siruntu,webcam,server,215.05,1730,k,k,viewer 11
15/02/2023 14:34:00,65950,8.38,27613.75,246250,siruntu,webcam,server,220.91,1.97,k,m,viewer 12
15/02/2023 14:35:00,67940,8.37,27973.75,256250,siruntu,webcam,server,223.79,2.05,k,m,viewer 13
15/02/2023 14:36:00,70860,10.54,30073.75,288750,siruntu,webcam,server,240.59,2.31,k,m,viewer 14
15/02/2023 14:37:00,72800,10.35,30302.5,306250,siruntu,webcam,server,242.42,2.45,k,m,viewer 15
15/02/2023 14:50:30,79750,2.57,23903.75,26460,siruntu,screen,server,191.23,211.68,k,k,presenter
15/02/2023 14:51:00,79710,0.78,17172.5,2308.75,siruntu,screen,server,137.38,18.47,k,k,viewer 1
15/02/2023 14:52:00,80110,0.58,14760,23490,siruntu,screen,server,118.08,187.92,k,k,viewer 2
15/02/2023 14:53:00,81190,1.33,19177.5,49748.75,siruntu,screen,server,153.42,397.99,k,k,viewer 3
15/02/2023 14:54:00,82020,2.27,36335,162500,siruntu,screen,server,290.68,1.3,k,m,viewer 4
15/02/2023 14:55:00,83680,1.14,25351.25,56951.25,siruntu,screen,server,202.81,455.61,k,k,viewer 5
15/02/2023 14:56:00,84860,3.78,27575,68812.5,siruntu,screen,server,220.6,550.5,k,k,viewer 6
15/02/2023 14:57:00,86380,3.84,24272.5,26797.5,siruntu,screen,server,194.18,214.38,k,k,viewer 7
15/02/2023 14:58:00,88010,7.58,45930,1528750,siruntu,screen,server,367.44,12.23,k,m,viewer 8
15/02/2023 14:59:00,89760,4.48,25940,993750,siruntu,screen,server,207.52,7.95,k,m,viewer 9
15/02/2023 15:00:00,91530,11.14,38218.75,4068750,siruntu,screen,server,305.75,32.55,k,m,viewer 10
15/02/2023 15:01:00,92930,7.35,35172.5,3551250,siruntu,screen,server,281.38,28.41,k,m,viewer 11
15/02/2023 15:02:00,94020,20.87,48476.25,8187500,siruntu,screen,server,387.81,65.5,k,m,viewer 12
15/02/2023 15:03:00,96290,19.08,41792.5,6406250,siruntu,screen,server,334.34,51.25,k,m,viewer 13
15/02/2023 15:04:00,97930,10.39,42912.5,5908750,siruntu,screen,server,343.3,47.27,k,m,viewer 14
15/02/2023 15:05:00,99640,28.84,53182.5,9595000,siruntu,screen,server,425.46,76.76,k,m,viewer 15
